one,two,three,four,five,six,seven,author,title
先,主,武,侯,同,閟,宮,杜甫,古柏行
崔,嵬,枝,幹,郊,原,古,杜甫,古柏行
窈,窕,丹,青,戶,牖,空,杜甫,古柏行
落,落,盤,踞,雖,得,地,杜甫,古柏行
冥,冥,孤,高,多,烈,風,杜甫,古柏行
扶,持,自,是,神,明,力,杜甫,古柏行
正,直,原,因,造,化,功,杜甫,古柏行
大,廈,如,傾,要,梁,棟,杜甫,古柏行
萬,牛,回,首,丘,山,重,杜甫,古柏行
不,露,文,章,世,已,驚,杜甫,古柏行
未,辭,剪,伐,誰,能,送,杜甫,古柏行
苦,心,豈,免,容,螻,蟻,杜甫,古柏行
香,葉,終,經,宿,鸞,鳳,杜甫,古柏行
志,士,幽,人,莫,怨,嗟,杜甫,古柏行
古,來,材,大,難,爲,用,杜甫,古柏行
昔,有,佳,人,公,孫,氏,杜甫,觀公孫大娘弟子舞劒器行
一,舞,劒,氣,動,四,方,杜甫,觀公孫大娘弟子舞劒器行
觀,者,如,山,色,沮,喪,杜甫,觀公孫大娘弟子舞劒器行
天,地,爲,之,久,低,昂,杜甫,觀公孫大娘弟子舞劒器行
㸌,如,羿,射,九,日,落,杜甫,觀公孫大娘弟子舞劒器行
矯,如,羣,帝,驂,龍,翔,杜甫,觀公孫大娘弟子舞劒器行
來,如,雷,霆,收,震,怒,杜甫,觀公孫大娘弟子舞劒器行
罷,如,江,海,凝,清,光,杜甫,觀公孫大娘弟子舞劒器行
絳,脣,珠,袖,兩,寂,莫,杜甫,觀公孫大娘弟子舞劒器行
況,有,弟,子,傳,芬,芳,杜甫,觀公孫大娘弟子舞劒器行
臨,潁,美,人,在,白,帝,杜甫,觀公孫大娘弟子舞劒器行
妙,舞,此,曲,神,揚,揚,杜甫,觀公孫大娘弟子舞劒器行
與,余,問,答,既,有,以,杜甫,觀公孫大娘弟子舞劒器行
感,時,撫,事,增,惋,傷,杜甫,觀公孫大娘弟子舞劒器行
先,帝,侍,女,八,千,人,杜甫,觀公孫大娘弟子舞劒器行
公,孫,劒,器,初,第,一,杜甫,觀公孫大娘弟子舞劒器行
五,十,年,間,似,反,掌,杜甫,觀公孫大娘弟子舞劒器行
風,塵,傾,動,昏,王,室,杜甫,觀公孫大娘弟子舞劒器行
棃,園,子,弟,散,如,煙,杜甫,觀公孫大娘弟子舞劒器行
女,樂,餘,姿,映,寒,日,杜甫,觀公孫大娘弟子舞劒器行
金,粟,堆,南,木,已,拱,杜甫,觀公孫大娘弟子舞劒器行
瞿,唐,石,城,草,蕭,瑟,杜甫,觀公孫大娘弟子舞劒器行
玳,筵,急,管,曲,復,終,杜甫,觀公孫大娘弟子舞劒器行
樂,極,哀,來,月,東,出,杜甫,觀公孫大娘弟子舞劒器行
老,夫,不,知,其,所,往,杜甫,觀公孫大娘弟子舞劒器行
足,繭,荒,山,轉,愁,疾,杜甫,觀公孫大娘弟子舞劒器行
別,夢,依,依,到,謝,家,張佖,寄人二首  其一
小,廊,迴,合,曲,闌,斜,張佖,寄人二首  其一
多,情,只,有,春,庭,月,張佖,寄人二首  其一
猶,爲,離,人,照,落,花,張佖,寄人二首  其一
秦,時,明,月,漢,時,關,不詳,雜曲歌辭 蓋羅縫 一
萬,里,征,人,尚,未,還,不詳,雜曲歌辭 蓋羅縫 一
但,願,龍,庭,神,將,在,不詳,雜曲歌辭 蓋羅縫 一
不,教,胡,馬,渡,陰,山,不詳,雜曲歌辭 蓋羅縫 一
迴,樂,峰,前,沙,似,雪,楊敬述進,雜曲歌辭 婆羅門
受,降,城,外,月,如,霜,楊敬述進,雜曲歌辭 婆羅門
不,知,何,處,吹,蘆,管,楊敬述進,雜曲歌辭 婆羅門
一,夜,征,人,盡,望,鄉,楊敬述進,雜曲歌辭 婆羅門
雲,想,衣,裳,花,想,容,李白,雜曲歌辭 清平調 一
春,風,拂,檻,露,華,濃,李白,雜曲歌辭 清平調 一
若,非,羣,玉,山,頭,見,李白,雜曲歌辭 清平調 一
會,向,瑤,臺,月,下,逢,李白,雜曲歌辭 清平調 一
一,枝,紅,豔,露,凝,香,李白,雜曲歌辭 清平調 二
雲,雨,巫,山,枉,斷,腸,李白,雜曲歌辭 清平調 二
借,問,漢,宮,誰,得,似,李白,雜曲歌辭 清平調 二
可,憐,飛,燕,倚,新,妝,李白,雜曲歌辭 清平調 二
名,花,傾,國,兩,相,歡,李白,雜曲歌辭 清平調 三
長,得,君,王,帶,笑,看,李白,雜曲歌辭 清平調 三
解,釋,春,風,無,限,恨,李白,雜曲歌辭 清平調 三
沈,香,亭,北,倚,闌,干,李白,雜曲歌辭 清平調 三
謂,城,朝,雨,浥,輕,塵,王維,雜曲歌辭 渭城曲
客,舍,青,青,柳,色,春,王維,雜曲歌辭 渭城曲
勸,君,更,盡,一,杯,酒,王維,雜曲歌辭 渭城曲
西,出,陽,關,無,故,人,王維,雜曲歌辭 渭城曲
勸,君,莫,惜,金,縷,衣,不詳,雜曲歌辭 金縷衣
勸,君,惜,取,少,年,時,不詳,雜曲歌辭 金縷衣
花,開,堪,折,直,須,折,不詳,雜曲歌辭 金縷衣
莫,待,無,花,空,折,枝,不詳,雜曲歌辭 金縷衣
西,晉,樓,船,下,益,州,劉禹錫,西塞山懷古
金,陵,王,氣,黯,然,收,劉禹錫,西塞山懷古
千,尋,鐵,鎖,沈,江,底,劉禹錫,西塞山懷古
一,片,降,旛,出,石,頭,劉禹錫,西塞山懷古
人,世,幾,回,傷,往,事,劉禹錫,西塞山懷古
山,形,依,舊,枕,江,流,劉禹錫,西塞山懷古
今,逢,四,海,爲,家,日,劉禹錫,西塞山懷古
故,壘,蕭,蕭,蘆,荻,秋,劉禹錫,西塞山懷古
朱,雀,橋,邊,野,草,花,劉禹錫,金陵五題 烏衣巷
烏,衣,巷,口,夕,陽,斜,劉禹錫,金陵五題 烏衣巷
舊,時,王,謝,堂,前,燕,劉禹錫,金陵五題 烏衣巷
飛,入,尋,常,百,姓,家,劉禹錫,金陵五題 烏衣巷
新,妝,面,面,下,朱,樓,劉禹錫,和樂天春詞
深,鎖,春,光,一,院,愁,劉禹錫,和樂天春詞
行,到,中,庭,數,花,朵,劉禹錫,和樂天春詞
蜻,蜓,飛,上,玉,搔,頭,劉禹錫,和樂天春詞
隠,隠,飛,橋,隔,野,煙,蔡襄,度南澗
石,磯,西,畔,問,漁,船,蔡襄,度南澗
桃,花,盡,日,隨,流,水,蔡襄,度南澗
洞,在,清,溪,何,處,邊,蔡襄,度南澗
二,月,黃,鶯,飛,上,林,錢起,贈闕下裴舍人
春,城,紫,禁,曉,陰,陰,錢起,贈闕下裴舍人
長,樂,鐘,聲,花,外,盡,錢起,贈闕下裴舍人
龍,池,柳,色,雨,中,深,錢起,贈闕下裴舍人
陽,和,不,散,窮,途,恨,錢起,贈闕下裴舍人
霄,漢,長,懷,捧,日,新,錢起,贈闕下裴舍人
獻,賦,十,年,猶,未,遇,錢起,贈闕下裴舍人
羞,將,白,髮,對,華,簪,錢起,贈闕下裴舍人
日,[,晏,],猶,得,眠,元結,賊退示官吏
夏,水,欲,滿,君,山,青,元結,石魚湖上醉歌
酒,徒,歷,歷,坐,洲,島,元結,石魚湖上醉歌
長,風,連,日,作,大,浪,元結,石魚湖上醉歌
不,能,廢,人,運,酒,舫,元結,石魚湖上醉歌
我,持,長,瓢,坐,巴,丘,元結,石魚湖上醉歌
酌,飲,四,坐,以,散,愁,元結,石魚湖上醉歌
月,落,烏,啼,霜,滿,天,張繼,楓橋夜泊
江,楓,漁,父,對,愁,眠,張繼,楓橋夜泊
姑,蘇,城,外,寒,山,寺,張繼,楓橋夜泊
夜,半,鐘,聲,到,客,船,張繼,楓橋夜泊
仙,臺,下,見,五,城,樓,韓翃,同題仙游觀
風,物,淒,淒,宿,雨,收,韓翃,同題仙游觀
山,色,遙,連,秦,樹,晚,韓翃,同題仙游觀
砧,聲,近,報,漢,宮,秋,韓翃,同題仙游觀
疎,松,影,落,空,壇,靜,韓翃,同題仙游觀
細,草,香,閑,小,洞,幽,韓翃,同題仙游觀
何,用,別,尋,方,外,去,韓翃,同題仙游觀
人,間,亦,自,有,丹,丘,韓翃,同題仙游觀
春,城,無,處,不,飛,花,韓翃,寒食
寒,食,東,風,御,柳,斜,韓翃,寒食
日,暮,漢,宮,傳,蠟,燭,韓翃,寒食
輕,煙,散,入,五,侯,家,韓翃,寒食
去,年,花,裏,逢,君,別,韋應物,寄李儋元錫
今,日,花,開,已,一,年,韋應物,寄李儋元錫
世,事,茫,茫,難,自,料,韋應物,寄李儋元錫
春,愁,黯,黯,獨,成,眠,韋應物,寄李儋元錫
身,多,疾,病,思,田,里,韋應物,寄李儋元錫
邑,有,流,亡,愧,俸,錢,韋應物,寄李儋元錫
聞,道,欲,來,相,問,訊,韋應物,寄李儋元錫
西,樓,望,月,幾,廻,圓,韋應物,寄李儋元錫
獨,憐,幽,草,澗,邊,生,韋應物,滁州西澗
上,有,黃,鸝,深,樹,鳴,韋應物,滁州西澗
春,潮,帶,雨,晚,來,急,韋應物,滁州西澗
野,渡,無,人,舟,自,橫,韋應物,滁州西澗
北,風,捲,地,白,草,折,岑參,白雪歌送武判官歸京
胡,天,八,月,即,飛,雪,岑參,白雪歌送武判官歸京
忽,然,一,夜,春,風,來,岑參,白雪歌送武判官歸京
千,樹,萬,樹,梨,花,開,岑參,白雪歌送武判官歸京
散,入,珠,簾,濕,羅,幕,岑參,白雪歌送武判官歸京
狐,裘,不,煖,錦,衾,薄,岑參,白雪歌送武判官歸京
將,軍,角,弓,不,得,控,岑參,白雪歌送武判官歸京
都,護,鐵,衣,冷,難,着,岑參,白雪歌送武判官歸京
瀚,海,闌,干,百,丈,冰,岑參,白雪歌送武判官歸京
愁,雲,黲,淡,萬,里,凝,岑參,白雪歌送武判官歸京
中,軍,置,酒,飲,歸,客,岑參,白雪歌送武判官歸京
胡,琴,琵,琶,與,羌,笛,岑參,白雪歌送武判官歸京
紛,紛,暮,雪,下,轅,門,岑參,白雪歌送武判官歸京
風,掣,紅,旗,凍,不,翻,岑參,白雪歌送武判官歸京
輪,臺,東,門,送,君,去,岑參,白雪歌送武判官歸京
去,時,雪,滿,天,山,路,岑參,白雪歌送武判官歸京
山,迴,路,轉,不,見,君,岑參,白雪歌送武判官歸京
雪,上,空,留,馬,行,處,岑參,白雪歌送武判官歸京
輪,臺,城,頭,夜,吹,角,岑參,輪臺歌奉送封大夫出師西征
輪,臺,城,北,旄,頭,落,岑參,輪臺歌奉送封大夫出師西征
羽,書,昨,夜,過,渠,黎,岑參,輪臺歌奉送封大夫出師西征
單,于,已,在,金,山,西,岑參,輪臺歌奉送封大夫出師西征
戍,樓,西,望,煙,塵,黑,岑參,輪臺歌奉送封大夫出師西征
漢,兵,屯,在,輪,臺,北,岑參,輪臺歌奉送封大夫出師西征
上,將,擁,旄,西,出,征,岑參,輪臺歌奉送封大夫出師西征
平,明,吹,笛,大,軍,行,岑參,輪臺歌奉送封大夫出師西征
四,邊,伐,鼓,雪,海,湧,岑參,輪臺歌奉送封大夫出師西征
三,軍,大,呼,陰,山,動,岑參,輪臺歌奉送封大夫出師西征
虜,塞,兵,氣,連,雲,屯,岑參,輪臺歌奉送封大夫出師西征
戰,場,白,骨,纏,草,根,岑參,輪臺歌奉送封大夫出師西征
劒,河,風,急,雪,片,闊,岑參,輪臺歌奉送封大夫出師西征
沙,口,石,凍,馬,蹄,脫,岑參,輪臺歌奉送封大夫出師西征
亞,相,勤,王,甘,苦,辛,岑參,輪臺歌奉送封大夫出師西征
誓,將,報,主,靜,邊,塵,岑參,輪臺歌奉送封大夫出師西征
古,來,青,史,誰,不,見,岑參,輪臺歌奉送封大夫出師西征
今,見,功,名,勝,古,人,岑參,輪臺歌奉送封大夫出師西征
平,沙,莽,莽,黃,入,天,岑參,走馬川行奉送出師西征
輪,臺,九,月,風,夜,吼,岑參,走馬川行奉送出師西征
一,川,碎,石,大,如,斗,岑參,走馬川行奉送出師西征
隨,風,滿,地,石,亂,走,岑參,走馬川行奉送出師西征
匈,奴,草,黃,馬,正,肥,岑參,走馬川行奉送出師西征
金,山,西,見,煙,塵,飛,岑參,走馬川行奉送出師西征
漢,家,大,將,西,出,師,岑參,走馬川行奉送出師西征
將,軍,金,甲,夜,不,脫,岑參,走馬川行奉送出師西征
半,夜,軍,行,戈,相,撥,岑參,走馬川行奉送出師西征
風,頭,如,刀,面,如,割,岑參,走馬川行奉送出師西征
馬,毛,帶,雪,汗,氣,蒸,岑參,走馬川行奉送出師西征
五,花,連,錢,旋,作,冰,岑參,走馬川行奉送出師西征
幕,中,草,檄,硯,水,凝,岑參,走馬川行奉送出師西征
虜,騎,聞,之,應,膽,懾,岑參,走馬川行奉送出師西征
料,知,短,兵,不,敢,接,岑參,走馬川行奉送出師西征
車,師,西,門,佇,獻,捷,岑參,走馬川行奉送出師西征
雞,鳴,紫,陌,曙,光,寒,岑參,奉和中書舍人賈至早朝大明宮
鶯,囀,皇,州,春,色,闌,岑參,奉和中書舍人賈至早朝大明宮
金,闕,曉,鐘,開,萬,戶,岑參,奉和中書舍人賈至早朝大明宮
玉,階,仙,仗,擁,千,官,岑參,奉和中書舍人賈至早朝大明宮
花,迎,劒,珮,星,初,落,岑參,奉和中書舍人賈至早朝大明宮
柳,拂,旌,旗,露,未,乾,岑參,奉和中書舍人賈至早朝大明宮
獨,有,鳳,皇,池,上,客,岑參,奉和中書舍人賈至早朝大明宮
陽,春,一,曲,和,皆,難,岑參,奉和中書舍人賈至早朝大明宮
故,園,東,望,路,漫,漫,岑參,逢入京使
雙,袖,龍,鍾,淚,不,乾,岑參,逢入京使
馬,上,相,逢,無,紙,筆,岑參,逢入京使
憑,君,傳,語,報,平,安,岑參,逢入京使
金,樽,清,酒,斗,十,千,李白,行路難三首 一
玉,盤,珍,羞,直,萬,錢,李白,行路難三首 一
停,杯,投,筯,不,能,食,李白,行路難三首 一
拔,劒,四,顧,心,茫,然,李白,行路難三首 一
欲,渡,黃,河,冰,塞,川,李白,行路難三首 一
將,登,太,行,雪,滿,山,李白,行路難三首 一
閑,來,垂,釣,碧,溪,上,李白,行路難三首 一
忽,復,乘,舟,夢,日,邊,李白,行路難三首 一
長,風,破,浪,會,有,時,李白,行路難三首 一
直,挂,雲,帆,濟,滄,海,李白,行路難三首 一
羞,逐,長,安,社,中,兒,李白,行路難三首 二
赤,雞,白,狗,賭,梨,栗,李白,行路難三首 二
彈,劒,作,歌,奏,苦,聲,李白,行路難三首 二
曳,裾,王,門,不,稱,情,李白,行路難三首 二
淮,陰,市,井,笑,韓,信,李白,行路難三首 二
漢,朝,公,卿,忌,賈,生,李白,行路難三首 二
擁,篲,折,節,無,嫌,猜,李白,行路難三首 二
劇,辛,樂,毅,感,恩,分,李白,行路難三首 二
輸,肝,剖,膽,效,英,才,李白,行路難三首 二
昭,王,白,骨,縈,爛,草,李白,行路難三首 二
誰,人,更,掃,黃,金,臺,李白,行路難三首 二
有,耳,莫,洗,潁,川,水,李白,行路難三首 三
有,口,莫,食,首,陽,蕨,李白,行路難三首 三
含,光,混,世,貴,無,名,李白,行路難三首 三
何,用,孤,高,比,雲,月,李白,行路難三首 三
吾,觀,自,古,賢,達,人,李白,行路難三首 三
功,成,不,退,皆,殞,身,李白,行路難三首 三
子,胥,既,棄,吳,江,上,李白,行路難三首 三
屈,原,終,投,湘,水,濱,李白,行路難三首 三
陸,機,雄,才,豈,自,保,李白,行路難三首 三
李,斯,稅,駕,苦,不,早,李白,行路難三首 三
華,亭,鶴,唳,詎,可,聞,李白,行路難三首 三
上,蔡,蒼,鷹,何,足,道,李白,行路難三首 三
秋,風,忽,憶,江,東,行,李白,行路難三首 三
且,樂,生,前,一,杯,酒,李白,行路難三首 三
何,須,身,後,千,載,名,李白,行路難三首 三
絡,緯,秋,啼,金,井,闌,李白,長相思
微,霜,淒,淒,簟,色,寒,李白,長相思
孤,燈,不,明,思,欲,絕,李白,長相思
卷,帷,望,月,空,長,歎,李白,長相思
美,人,如,花,隔,雲,端,李白,長相思
上,有,青,冥,之,長,天,李白,長相思
下,有,淥,水,之,波,瀾,李白,長相思
天,長,路,遠,魂,飛,苦,李白,長相思
夢,魂,不,到,關,山,難,李白,長相思
[,戍,],客,望,邊,色,李白,關山月
雲,想,衣,裳,花,想,容,李白,清平調詞三首 一
春,風,拂,檻,露,華,濃,李白,清平調詞三首 一
若,非,羣,玉,山,頭,見,李白,清平調詞三首 一
會,向,瑤,臺,月,下,逢,李白,清平調詞三首 一
一,枝,穠,豔,露,凝,香,李白,清平調詞三首 二
雲,雨,巫,山,枉,斷,腸,李白,清平調詞三首 二
借,問,漢,宮,誰,得,似,李白,清平調詞三首 二
可,憐,飛,燕,倚,新,妝,李白,清平調詞三首 二
五,嶽,尋,仙,不,辭,遠,李白,廬山謠寄盧侍御虛舟
一,生,好,入,名,山,遊,李白,廬山謠寄盧侍御虛舟
廬,山,秀,出,南,斗,傍,李白,廬山謠寄盧侍御虛舟
屏,風,九,疊,雲,錦,張,李白,廬山謠寄盧侍御虛舟
影,落,明,湖,青,黛,光,李白,廬山謠寄盧侍御虛舟
金,闕,前,開,二,峰,長,李白,廬山謠寄盧侍御虛舟
銀,河,倒,挂,三,石,梁,李白,廬山謠寄盧侍御虛舟
香,爐,瀑,布,遙,相,望,李白,廬山謠寄盧侍御虛舟
迴,厓,沓,嶂,凌,蒼,蒼,李白,廬山謠寄盧侍御虛舟
翠,影,紅,霞,映,朝,日,李白,廬山謠寄盧侍御虛舟
鳥,飛,不,到,吳,天,長,李白,廬山謠寄盧侍御虛舟
登,高,壯,觀,天,地,間,李白,廬山謠寄盧侍御虛舟
大,江,茫,茫,去,不,還,李白,廬山謠寄盧侍御虛舟
黃,雲,萬,里,動,風,色,李白,廬山謠寄盧侍御虛舟
白,波,九,道,流,雪,山,李白,廬山謠寄盧侍御虛舟
閑,窺,石,鏡,清,我,心,李白,廬山謠寄盧侍御虛舟
謝,公,行,處,蒼,苔,沒,李白,廬山謠寄盧侍御虛舟
早,服,還,丹,無,世,情,李白,廬山謠寄盧侍御虛舟
琴,心,三,疊,道,初,成,李白,廬山謠寄盧侍御虛舟
遙,見,仙,人,綵,雲,裏,李白,廬山謠寄盧侍御虛舟
手,把,芙,蓉,朝,玉,京,李白,廬山謠寄盧侍御虛舟
先,期,汗,漫,九,垓,上,李白,廬山謠寄盧侍御虛舟
願,接,盧,敖,遊,太,清,李白,廬山謠寄盧侍御虛舟
煙,濤,微,茫,信,難,求,李白,夢遊天姥吟留別
雲,霓,明,滅,或,可,覩,李白,夢遊天姥吟留別
天,姥,連,天,向,天,橫,李白,夢遊天姥吟留別
勢,拔,五,嶽,掩,赤,城,李白,夢遊天姥吟留別
天,台,四,萬,八,千,丈,李白,夢遊天姥吟留別
對,此,欲,倒,東,南,傾,李白,夢遊天姥吟留別
我,欲,因,之,夢,吳,越,李白,夢遊天姥吟留別
一,夜,飛,度,鏡,湖,月,李白,夢遊天姥吟留別
謝,公,宿,處,今,尚,在,李白,夢遊天姥吟留別
淥,水,蕩,漾,清,猨,啼,李白,夢遊天姥吟留別
千,巖,萬,轉,路,不,定,李白,夢遊天姥吟留別
迷,花,倚,石,忽,已,暝,李白,夢遊天姥吟留別
熊,咆,龍,吟,殷,巖,泉,李白,夢遊天姥吟留別
慄,深,林,兮,驚,層,巔,李白,夢遊天姥吟留別
青,冥,浩,蕩,不,見,底,李白,夢遊天姥吟留別
日,月,照,耀,金,銀,臺,李白,夢遊天姥吟留別
霓,爲,衣,兮,風,爲,馬,李白,夢遊天姥吟留別
虎,鼓,瑟,兮,鸞,迴,車,李白,夢遊天姥吟留別
仙,之,人,兮,列,如,麻,李白,夢遊天姥吟留別
世,間,行,樂,亦,如,此,李白,夢遊天姥吟留別
古,來,萬,事,東,流,水,李白,夢遊天姥吟留別
別,君,去,時,何,時,還,李白,夢遊天姥吟留別
且,放,白,鹿,青,崖,間,李白,夢遊天姥吟留別
須,行,即,騎,訪,名,山,李白,夢遊天姥吟留別
使,我,不,得,開,心,顏,李白,夢遊天姥吟留別
風,吹,柳,花,滿,店,香,李白,金陵酒肆留別
吳,姬,壓,酒,喚,客,嘗,李白,金陵酒肆留別
金,陵,子,弟,來,相,送,李白,金陵酒肆留別
欲,行,不,行,各,盡,觴,李白,金陵酒肆留別
請,君,試,問,東,流,水,李白,金陵酒肆留別
別,意,與,之,誰,短,長,李白,金陵酒肆留別
故,人,西,辭,黃,鶴,樓,李白,黃鶴樓送孟浩然之廣陵
煙,花,三,月,下,揚,州,李白,黃鶴樓送孟浩然之廣陵
孤,帆,遠,影,碧,山,盡,李白,黃鶴樓送孟浩然之廣陵
唯,見,長,江,天,際,流,李白,黃鶴樓送孟浩然之廣陵
長,風,萬,里,送,秋,雁,李白,宣州謝朓樓餞別校書叔雲
對,此,可,以,酣,高,樓,李白,宣州謝朓樓餞別校書叔雲
蓬,萊,文,章,建,安,骨,李白,宣州謝朓樓餞別校書叔雲
中,間,小,謝,又,清,發,李白,宣州謝朓樓餞別校書叔雲
俱,懷,逸,興,壯,思,飛,李白,宣州謝朓樓餞別校書叔雲
欲,上,青,天,覽,日,月,李白,宣州謝朓樓餞別校書叔雲
抽,刀,斷,水,水,更,流,李白,宣州謝朓樓餞別校書叔雲
舉,杯,銷,愁,愁,更,愁,李白,宣州謝朓樓餞別校書叔雲
人,生,在,世,不,稱,意,李白,宣州謝朓樓餞別校書叔雲
明,朝,散,髮,弄,扁,舟,李白,宣州謝朓樓餞別校書叔雲
鳳,凰,臺,上,鳳,凰,遊,李白,登金陵鳳凰臺
鳳,去,臺,空,江,自,流,李白,登金陵鳳凰臺
吳,宮,花,草,埋,幽,徑,李白,登金陵鳳凰臺
晉,代,衣,冠,成,古,丘,李白,登金陵鳳凰臺
三,山,半,落,青,天,外,李白,登金陵鳳凰臺
二,水,中,分,白,鷺,洲,李白,登金陵鳳凰臺
總,爲,浮,雲,能,蔽,日,李白,登金陵鳳凰臺
長,安,不,見,使,人,愁,李白,登金陵鳳凰臺
朝,辭,白,帝,彩,雲,間,李白,早發白帝城
千,里,江,陵,一,日,還,李白,早發白帝城
兩,岸,猨,聲,啼,不,盡,李白,早發白帝城
輕,舟,已,過,萬,重,山,李白,早發白帝城
漢,家,煙,塵,在,東,北,高適,相和歌辭 燕歌行
漢,將,辭,家,破,殘,賊,高適,相和歌辭 燕歌行
男,兒,本,自,重,橫,行,高適,相和歌辭 燕歌行
天,子,非,常,賜,顏,色,高適,相和歌辭 燕歌行
摐,金,伐,鼓,下,榆,關,高適,相和歌辭 燕歌行
旌,旗,逶,迤,碣,石,間,高適,相和歌辭 燕歌行
校,尉,羽,書,飛,瀚,海,高適,相和歌辭 燕歌行
單,于,獵,火,照,狼,山,高適,相和歌辭 燕歌行
山,川,蕭,條,極,邊,土,高適,相和歌辭 燕歌行
胡,騎,憑,凌,雜,風,雨,高適,相和歌辭 燕歌行
戰,士,軍,前,半,死,生,高適,相和歌辭 燕歌行
美,人,帳,下,猶,歌,舞,高適,相和歌辭 燕歌行
大,漠,窮,秋,塞,草,衰,高適,相和歌辭 燕歌行
孤,城,落,日,鬬,兵,稀,高適,相和歌辭 燕歌行
身,當,恩,遇,常,輕,敵,高適,相和歌辭 燕歌行
力,盡,關,山,未,解,圍,高適,相和歌辭 燕歌行
鐵,衣,遠,戍,辛,勤,久,高適,相和歌辭 燕歌行
玉,箸,應,啼,別,離,後,高適,相和歌辭 燕歌行
少,婦,城,南,欲,斷,腸,高適,相和歌辭 燕歌行
征,人,薊,北,空,回,首,高適,相和歌辭 燕歌行
邊,風,飄,飄,那,可,度,高適,相和歌辭 燕歌行
絕,域,蒼,茫,更,何,有,高適,相和歌辭 燕歌行
殺,氣,三,日,作,陣,雲,高適,相和歌辭 燕歌行
寒,聲,一,夜,傳,刁,斗,高適,相和歌辭 燕歌行
相,看,白,刃,血,紛,紛,高適,相和歌辭 燕歌行
死,節,從,來,豈,顧,勳,高適,相和歌辭 燕歌行
至,今,猶,憶,李,將,軍,高適,相和歌辭 燕歌行
白,日,登,山,望,烽,火,李頎,相和歌辭 從軍行
昏,黃,飲,馬,傍,交,河,李頎,相和歌辭 從軍行
行,人,刁,斗,風,砂,暗,李頎,相和歌辭 從軍行
公,主,琵,琶,幽,怨,多,李頎,相和歌辭 從軍行
野,營,萬,里,無,城,郭,李頎,相和歌辭 從軍行
雨,雪,紛,紛,連,大,漠,李頎,相和歌辭 從軍行
胡,雁,哀,鳴,夜,夜,飛,李頎,相和歌辭 從軍行
胡,兒,眼,淚,雙,雙,落,李頎,相和歌辭 從軍行
聞,道,玉,門,猶,被,遮,李頎,相和歌辭 從軍行
應,將,性,命,逐,輕,車,李頎,相和歌辭 從軍行
年,年,戰,骨,埋,荒,外,李頎,相和歌辭 從軍行
空,見,蒲,萄,入,漢,家,李頎,相和歌辭 從軍行
爾,來,四,萬,八,千,歲,李白,相和歌辭 蜀道難
乃,與,秦,塞,通,人,煙,李白,相和歌辭 蜀道難
西,當,太,白,有,鳥,道,李白,相和歌辭 蜀道難
可,以,橫,絕,峨,眉,巔,李白,相和歌辭 蜀道難
地,崩,山,摧,壯,士,死,李白,相和歌辭 蜀道難
黃,鶴,之,飛,尚,不,得,李白,相和歌辭 蜀道難
猨,猱,欲,度,愁,攀,緣,李白,相和歌辭 蜀道難
百,步,九,折,縈,巖,巒,李白,相和歌辭 蜀道難
捫,參,歷,井,仰,脅,息,李白,相和歌辭 蜀道難
以,手,撫,膺,坐,長,歎,李白,相和歌辭 蜀道難
問,君,西,遊,何,時,還,李白,相和歌辭 蜀道難
畏,途,巉,巖,不,可,攀,李白,相和歌辭 蜀道難
但,見,悲,鳥,號,枯,木,李白,相和歌辭 蜀道難
雄,飛,呼,雌,繞,林,間,李白,相和歌辭 蜀道難
又,聞,子,規,啼,夜,月,李白,相和歌辭 蜀道難
使,人,聽,此,彫,朱,顏,李白,相和歌辭 蜀道難
連,峰,去,天,不,盈,尺,李白,相和歌辭 蜀道難
枯,松,倒,挂,倚,絕,壁,李白,相和歌辭 蜀道難
飛,湍,瀑,流,相,喧,豗,李白,相和歌辭 蜀道難
砅,崖,轉,石,萬,壑,雷,李白,相和歌辭 蜀道難
劒,閣,崢,嶸,而,崔,嵬,李白,相和歌辭 蜀道難
側,身,西,望,長,咨,嗟,李白,相和歌辭 蜀道難
奉,帚,平,明,金,殿,開,王昌齡,相和歌辭 長信怨 二
暫,將,團,扇,共,裴,回,王昌齡,相和歌辭 長信怨 二
玉,顏,不,及,寒,鵶,色,王昌齡,相和歌辭 長信怨 二
猶,帶,昭,陽,日,影,來,王昌齡,相和歌辭 長信怨 二
三,月,三,日,天,氣,新,杜甫,雜曲歌辭 麗人行
長,安,水,邊,多,麗,人,杜甫,雜曲歌辭 麗人行
態,濃,意,遠,淑,且,真,杜甫,雜曲歌辭 麗人行
肌,理,細,膩,骨,肉,勻,杜甫,雜曲歌辭 麗人行
繡,羅,衣,裳,照,暮,春,杜甫,雜曲歌辭 麗人行
蹙,金,孔,雀,銀,麒,麟,杜甫,雜曲歌辭 麗人行
翠,微,㔩,葉,垂,鬢,脣,杜甫,雜曲歌辭 麗人行
珠,壓,腰,衱,穩,稱,身,杜甫,雜曲歌辭 麗人行
就,中,雲,幕,椒,房,親,杜甫,雜曲歌辭 麗人行
賜,名,大,國,虢,與,秦,杜甫,雜曲歌辭 麗人行
紫,駞,之,峯,出,翠,釜,杜甫,雜曲歌辭 麗人行
水,晶,之,盤,行,素,鱗,杜甫,雜曲歌辭 麗人行
犀,筯,厭,飫,久,未,下,杜甫,雜曲歌辭 麗人行
鸞,刀,縷,切,空,紛,綸,杜甫,雜曲歌辭 麗人行
