one,two,three,four,five,author,title
報,道,山,中,去,皎然,尋陸鴻漸不遇
歸,時,每,日,斜,皎然,尋陸鴻漸不遇
梧,桐,相,待,老,孟郊,列女操
鴛,鴦,會,雙,死,孟郊,列女操
貞,女,貴,狥,夫,孟郊,列女操
捨,生,亦,如,此,孟郊,列女操
波,瀾,誓,不,起,孟郊,列女操
妾,心,井,中,水,孟郊,列女操
慈,母,手,中,線,孟郊,遊子吟
遊,子,身,上,衣,孟郊,遊子吟
臨,行,密,密,縫,孟郊,遊子吟
意,恐,遲,遲,歸,孟郊,遊子吟
誰,言,寸,草,心,孟郊,遊子吟
報,得,三,春,暉,孟郊,遊子吟
泉,壑,帶,茅,茨,錢起,谷口書齋寄楊補闕
雲,霞,生,薜,帷,錢起,谷口書齋寄楊補闕
竹,憐,新,雨,後,錢起,谷口書齋寄楊補闕
山,愛,夕,陽,時,錢起,谷口書齋寄楊補闕
閑,鷺,棲,常,早,錢起,谷口書齋寄楊補闕
秋,花,落,更,遲,錢起,谷口書齋寄楊補闕
家,童,掃,蘿,逕,錢起,谷口書齋寄楊補闕
昨,與,故,人,期,錢起,谷口書齋寄楊補闕
上,國,隨,緣,住,錢起,送僧歸日本
來,途,若,夢,行,錢起,送僧歸日本
浮,天,滄,海,遠,錢起,送僧歸日本
去,世,法,舟,輕,錢起,送僧歸日本
水,月,通,禪,觀,錢起,送僧歸日本
魚,龍,聽,梵,聲,錢起,送僧歸日本
惟,憐,一,燈,影,錢起,送僧歸日本
萬,里,眼,中,明,錢起,送僧歸日本
月,黑,雁,飛,高,錢起,和張僕射塞下曲
單,于,夜,遁,逃,錢起,和張僕射塞下曲
欲,將,輕,騎,逐,錢起,和張僕射塞下曲
大,雪,滿,弓,刀,錢起,和張僕射塞下曲
昔,歲,逢,太,平,元結,賊退示官吏
山,林,二,十,年,元結,賊退示官吏
泉,源,在,庭,戶,元結,賊退示官吏
洞,壑,當,門,前,元結,賊退示官吏
井,稅,有,常,期,元結,賊退示官吏
忽,然,遭,世,變,元結,賊退示官吏
數,歲,親,戎,旃,元結,賊退示官吏
今,來,典,斯,郡,元結,賊退示官吏
山,夷,又,紛,然,元結,賊退示官吏
城,小,賊,不,屠,元結,賊退示官吏
人,貧,傷,可,憐,元結,賊退示官吏
是,以,陷,隣,境,元結,賊退示官吏
此,州,獨,見,全,元結,賊退示官吏
使,臣,將,王,命,元結,賊退示官吏
豈,不,如,賊,焉,元結,賊退示官吏
今,彼,徴,斂,者,元結,賊退示官吏
迫,之,如,火,煎,元結,賊退示官吏
誰,能,絕,人,命,元結,賊退示官吏
以,作,時,世,賢,元結,賊退示官吏
思,欲,委,符,節,元結,賊退示官吏
引,竿,自,刺,船,元結,賊退示官吏
將,家,就,魚,麥,元結,賊退示官吏
歸,老,江,湖,邊,元結,賊退示官吏
長,簟,迎,風,早,韓翃,酬程延秋夜即事見贈
空,城,澹,月,華,韓翃,酬程延秋夜即事見贈
星,河,秋,一,雁,韓翃,酬程延秋夜即事見贈
砧,杵,夜,千,家,韓翃,酬程延秋夜即事見贈
節,候,看,應,晚,韓翃,酬程延秋夜即事見贈
心,期,臥,亦,賒,韓翃,酬程延秋夜即事見贈
向,來,吟,秀,句,韓翃,酬程延秋夜即事見贈
不,覺,已,鳴,鴉,韓翃,酬程延秋夜即事見贈
今,朝,郡,齋,冷,韋應物,寄全椒山中道士
忽,念,山,中,客,韋應物,寄全椒山中道士
澗,底,束,荆,薪,韋應物,寄全椒山中道士
歸,來,煮,白,石,韋應物,寄全椒山中道士
欲,持,一,瓢,酒,韋應物,寄全椒山中道士
遠,慰,風,雨,夕,韋應物,寄全椒山中道士
落,葉,滿,空,山,韋應物,寄全椒山中道士
何,處,尋,行,跡,韋應物,寄全椒山中道士
懷,君,屬,秋,夜,韋應物,秋夜寄丘二十二員外
散,步,詠,涼,天,韋應物,秋夜寄丘二十二員外
山,空,松,子,落,韋應物,秋夜寄丘二十二員外
幽,人,應,未,眠,韋應物,秋夜寄丘二十二員外
楚,江,微,雨,裏,韋應物,賦得暮雨送李胄
建,業,暮,鐘,時,韋應物,賦得暮雨送李胄
漠,漠,帆,來,重,韋應物,賦得暮雨送李胄
冥,冥,鳥,去,遲,韋應物,賦得暮雨送李胄
海,門,深,不,見,韋應物,賦得暮雨送李胄
浦,樹,遠,含,滋,韋應物,賦得暮雨送李胄
相,送,情,無,限,韋應物,賦得暮雨送李胄
沾,襟,比,散,絲,韋應物,賦得暮雨送李胄
永,日,方,慼,慼,韋應物,送楊氏女
出,門,復,悠,悠,韋應物,送楊氏女
女,子,今,有,行,韋應物,送楊氏女
大,江,泝,輕,舟,韋應物,送楊氏女
爾,輩,況,無,恃,韋應物,送楊氏女
撫,念,益,慈,柔,韋應物,送楊氏女
幼,爲,長,所,育,韋應物,送楊氏女
兩,別,泣,不,休,韋應物,送楊氏女
對,此,結,中,腸,韋應物,送楊氏女
義,往,難,復,留,韋應物,送楊氏女
自,小,闕,內,訓,韋應物,送楊氏女
事,姑,貽,我,憂,韋應物,送楊氏女
賴,茲,託,令,門,韋應物,送楊氏女
仁,恤,庶,無,尤,韋應物,送楊氏女
貧,儉,誠,所,尚,韋應物,送楊氏女
資,從,豈,待,周,韋應物,送楊氏女
孝,恭,遵,婦,道,韋應物,送楊氏女
容,止,順,其,猷,韋應物,送楊氏女
別,離,在,今,晨,韋應物,送楊氏女
見,爾,當,何,秋,韋應物,送楊氏女
居,閑,始,自,遣,韋應物,送楊氏女
臨,感,忽,難,收,韋應物,送楊氏女
歸,來,視,幼,女,韋應物,送楊氏女
零,淚,緣,纓,流,韋應物,送楊氏女
客,從,東,方,來,韋應物,長安遇馮著
衣,上,灞,陵,雨,韋應物,長安遇馮著
問,客,何,爲,來,韋應物,長安遇馮著
采,山,因,買,斧,韋應物,長安遇馮著
冥,冥,花,正,開,韋應物,長安遇馮著
颺,颺,燕,新,乳,韋應物,長安遇馮著
昨,別,今,已,春,韋應物,長安遇馮著
鬢,絲,生,幾,縷,韋應物,長安遇馮著
落,帆,逗,淮,鎮,韋應物,夕次盱眙縣
停,舫,臨,孤,驛,韋應物,夕次盱眙縣
浩,浩,風,起,波,韋應物,夕次盱眙縣
冥,冥,日,沈,夕,韋應物,夕次盱眙縣
人,歸,山,郭,暗,韋應物,夕次盱眙縣
雁,下,蘆,洲,白,韋應物,夕次盱眙縣
獨,夜,憶,秦,關,韋應物,夕次盱眙縣
聽,鐘,未,眠,客,韋應物,夕次盱眙縣
吏,舍,跼,終,年,韋應物,東郊
出,郊,曠,清,曙,韋應物,東郊
楊,柳,散,和,風,韋應物,東郊
青,山,澹,吾,慮,韋應物,東郊
依,叢,適,自,憩,韋應物,東郊
緣,澗,還,復,去,韋應物,東郊
微,雨,靄,芳,原,韋應物,東郊
春,鳩,鳴,何,處,韋應物,東郊
樂,幽,心,屢,止,韋應物,東郊
遵,事,跡,猶,遽,韋應物,東郊
終,罷,斯,結,廬,韋應物,東郊
慕,陶,真,可,庶,韋應物,東郊
獨,有,宦,遊,人,韋應物,和晉陵陸丞早春遊望
偏,驚,物,候,新,韋應物,和晉陵陸丞早春遊望
雲,霞,出,海,曙,韋應物,和晉陵陸丞早春遊望
梅,柳,渡,江,春,韋應物,和晉陵陸丞早春遊望
淑,氣,催,黃,鳥,韋應物,和晉陵陸丞早春遊望
晴,光,照,綠,蘋,韋應物,和晉陵陸丞早春遊望
忽,聞,歌,苦,調,韋應物,和晉陵陸丞早春遊望
歸,思,欲,霑,巾,韋應物,和晉陵陸丞早春遊望
塔,勢,如,湧,出,岑參,與高適薛據慈恩寺浮圖
孤,高,聳,天,宮,岑參,與高適薛據慈恩寺浮圖
登,臨,出,世,界,岑參,與高適薛據慈恩寺浮圖
磴,道,盤,虛,空,岑參,與高適薛據慈恩寺浮圖
突,兀,壓,神,州,岑參,與高適薛據慈恩寺浮圖
崢,嶸,如,鬼,工,岑參,與高適薛據慈恩寺浮圖
四,角,礙,白,日,岑參,與高適薛據慈恩寺浮圖
七,層,摩,蒼,穹,岑參,與高適薛據慈恩寺浮圖
下,窺,指,高,鳥,岑參,與高適薛據慈恩寺浮圖
俯,聽,聞,驚,風,岑參,與高適薛據慈恩寺浮圖
連,山,若,波,濤,岑參,與高適薛據慈恩寺浮圖
奔,湊,似,朝,東,岑參,與高適薛據慈恩寺浮圖
青,槐,夾,馳,道,岑參,與高適薛據慈恩寺浮圖
宮,館,何,玲,瓏,岑參,與高適薛據慈恩寺浮圖
秋,色,從,西,來,岑參,與高適薛據慈恩寺浮圖
蒼,然,滿,關,中,岑參,與高適薛據慈恩寺浮圖
五,陵,北,原,上,岑參,與高適薛據慈恩寺浮圖
萬,古,青,濛,濛,岑參,與高適薛據慈恩寺浮圖
淨,理,了,可,悟,岑參,與高適薛據慈恩寺浮圖
勝,因,夙,所,宗,岑參,與高適薛據慈恩寺浮圖
誓,將,挂,冠,去,岑參,與高適薛據慈恩寺浮圖
覺,道,資,無,窮,岑參,與高適薛據慈恩寺浮圖
聯,步,趨,丹,陛,岑參,寄左省杜拾遺
分,曹,限,紫,微,岑參,寄左省杜拾遺
曉,隨,天,仗,入,岑參,寄左省杜拾遺
暮,惹,御,香,歸,岑參,寄左省杜拾遺
白,髮,悲,花,落,岑參,寄左省杜拾遺
青,雲,羨,鳥,飛,岑參,寄左省杜拾遺
聖,朝,無,闕,事,岑參,寄左省杜拾遺
自,覺,諫,書,稀,岑參,寄左省杜拾遺
松,下,問,童,子,孫革,訪羊尊師
言,師,採,藥,去,孫革,訪羊尊師
只,在,此,山,中,孫革,訪羊尊師
雲,深,不,知,處,孫革,訪羊尊師
調,角,斷,清,秋,張喬,書邊事
征,人,倚,戍,樓,張喬,書邊事
春,風,對,青,塚,張喬,書邊事
白,日,落,梁,州,張喬,書邊事
大,漢,無,兵,阻,張喬,書邊事
窮,邊,有,客,遊,張喬,書邊事
蕃,情,似,此,水,張喬,書邊事
長,願,向,南,流,張喬,書邊事
大,道,如,青,天,李白,行路難三首 二
我,獨,不,得,出,李白,行路難三首 二
明,月,出,天,山,李白,關山月
蒼,茫,雲,海,間,李白,關山月
長,風,幾,萬,里,李白,關山月
吹,度,玉,門,關,李白,關山月
漢,下,白,登,道,李白,關山月
胡,窺,青,海,灣,李白,關山月
由,來,征,戰,地,李白,關山月
不,見,有,人,還,李白,關山月
思,歸,多,苦,顏,李白,關山月
高,樓,當,此,夜,李白,關山月
歎,息,未,應,閑,李白,關山月
玉,階,生,白,露,李白,玉階怨
夜,久,侵,羅,襪,李白,玉階怨
却,下,水,晶,簾,李白,玉階怨
玲,瓏,望,秋,月,李白,玉階怨
牀,前,看,月,光,李白,靜夜思
疑,是,地,上,霜,李白,靜夜思
舉,頭,望,山,月,李白,靜夜思
低,頭,思,故,鄉,李白,靜夜思
燕,草,如,碧,絲,李白,春思
秦,桑,低,綠,枝,李白,春思
當,君,懷,歸,日,李白,春思
是,妾,斷,腸,時,李白,春思
春,風,不,相,識,李白,春思
何,事,入,羅,幃,李白,春思
秦,地,羅,敷,女,李白,子夜吳歌 春歌
採,桑,綠,水,邊,李白,子夜吳歌 春歌
素,手,青,條,上,李白,子夜吳歌 春歌
紅,妝,白,日,鮮,李白,子夜吳歌 春歌
蠶,飢,妾,欲,去,李白,子夜吳歌 春歌
五,馬,莫,留,連,李白,子夜吳歌 春歌
鏡,湖,三,百,里,李白,子夜吳歌 夏歌
菡,萏,發,荷,花,李白,子夜吳歌 夏歌
五,月,西,施,採,李白,子夜吳歌 夏歌
人,看,隘,若,耶,李白,子夜吳歌 夏歌
回,舟,不,待,月,李白,子夜吳歌 夏歌
歸,去,越,王,家,李白,子夜吳歌 夏歌
長,安,一,片,月,李白,子夜吳歌 秋歌
萬,戶,擣,衣,聲,李白,子夜吳歌 秋歌
秋,風,吹,不,盡,李白,子夜吳歌 秋歌
總,是,玉,關,情,李白,子夜吳歌 秋歌
何,日,平,胡,虜,李白,子夜吳歌 秋歌
良,人,罷,遠,征,李白,子夜吳歌 秋歌
明,朝,驛,使,發,李白,子夜吳歌 冬歌
一,夜,絮,征,袍,李白,子夜吳歌 冬歌
素,手,抽,針,冷,李白,子夜吳歌 冬歌
那,堪,把,剪,刀,李白,子夜吳歌 冬歌
裁,縫,寄,遠,道,李白,子夜吳歌 冬歌
幾,日,到,臨,洮,李白,子夜吳歌 冬歌
吾,愛,孟,夫,子,李白,贈孟浩然
風,流,天,下,聞,李白,贈孟浩然
紅,顏,棄,軒,冕,李白,贈孟浩然
白,首,臥,松,雲,李白,贈孟浩然
醉,月,頻,中,聖,李白,贈孟浩然
迷,花,不,事,君,李白,贈孟浩然
高,山,安,可,仰,李白,贈孟浩然
徒,此,揖,清,芬,李白,贈孟浩然
我,本,楚,狂,人,李白,廬山謠寄盧侍御虛舟
鳳,歌,笑,孔,丘,李白,廬山謠寄盧侍御虛舟
手,持,綠,玉,杖,李白,廬山謠寄盧侍御虛舟
朝,別,黃,鶴,樓,李白,廬山謠寄盧侍御虛舟
好,爲,廬,山,謠,李白,廬山謠寄盧侍御虛舟
興,因,廬,山,發,李白,廬山謠寄盧侍御虛舟
海,客,談,瀛,洲,李白,夢遊天姥吟留別
越,人,語,天,姥,李白,夢遊天姥吟留別
湖,月,照,我,影,李白,夢遊天姥吟留別
送,我,至,剡,溪,李白,夢遊天姥吟留別
脚,著,謝,公,屐,李白,夢遊天姥吟留別
身,登,青,雲,梯,李白,夢遊天姥吟留別
半,壁,見,海,日,李白,夢遊天姥吟留別
空,中,聞,天,雞,李白,夢遊天姥吟留別
渡,遠,荆,門,外,李白,渡荆門送別
來,從,楚,國,遊,李白,渡荆門送別
山,隨,平,野,盡,李白,渡荆門送別
江,入,大,荒,流,李白,渡荆門送別
月,下,飛,天,鏡,李白,渡荆門送別
雲,生,結,海,樓,李白,渡荆門送別
仍,連,故,鄉,水,李白,渡荆門送別
萬,里,送,行,舟,李白,渡荆門送別
青,山,橫,北,郭,李白,送友人
白,水,遶,東,城,李白,送友人
此,地,一,爲,別,李白,送友人
孤,蓬,萬,里,征,李白,送友人
浮,雲,遊,子,意,李白,送友人
落,日,故,人,情,李白,送友人
揮,手,自,茲,去,李白,送友人
蕭,蕭,班,馬,鳴,李白,送友人
暮,從,碧,山,下,李白,下終南山過斛斯山人宿置酒
山,月,隨,人,歸,李白,下終南山過斛斯山人宿置酒
却,顧,所,來,徑,李白,下終南山過斛斯山人宿置酒
蒼,蒼,橫,翠,微,李白,下終南山過斛斯山人宿置酒
相,攜,及,田,家,李白,下終南山過斛斯山人宿置酒
童,稚,開,荆,扉,李白,下終南山過斛斯山人宿置酒
綠,竹,入,幽,徑,李白,下終南山過斛斯山人宿置酒
青,蘿,拂,行,衣,李白,下終南山過斛斯山人宿置酒
歡,言,得,所,憩,李白,下終南山過斛斯山人宿置酒
美,酒,聊,共,揮,李白,下終南山過斛斯山人宿置酒
長,歌,吟,松,風,李白,下終南山過斛斯山人宿置酒
曲,盡,河,星,稀,李白,下終南山過斛斯山人宿置酒
我,醉,君,復,樂,李白,下終南山過斛斯山人宿置酒
陶,然,共,忘,機,李白,下終南山過斛斯山人宿置酒
牛,渚,西,江,夜,李白,夜泊牛渚懷古
青,天,無,片,雲,李白,夜泊牛渚懷古
登,舟,望,秋,月,李白,夜泊牛渚懷古
空,憶,謝,將,軍,李白,夜泊牛渚懷古
余,亦,能,高,詠,李白,夜泊牛渚懷古
斯,人,不,可,聞,李白,夜泊牛渚懷古
明,朝,挂,帆,席,李白,夜泊牛渚懷古
楓,葉,落,紛,紛,李白,夜泊牛渚懷古
花,間,一,壺,酒,李白,月下獨酌四首 一
獨,酌,無,相,親,李白,月下獨酌四首 一
舉,杯,邀,明,月,李白,月下獨酌四首 一
對,影,成,三,人,李白,月下獨酌四首 一
月,既,不,解,飲,李白,月下獨酌四首 一
影,徒,隨,我,身,李白,月下獨酌四首 一
暫,伴,月,將,影,李白,月下獨酌四首 一
行,樂,須,及,春,李白,月下獨酌四首 一
我,歌,月,裴,回,李白,月下獨酌四首 一
我,舞,影,零,亂,李白,月下獨酌四首 一
醒,時,同,交,歡,李白,月下獨酌四首 一
醉,後,各,分,散,李白,月下獨酌四首 一
永,結,無,情,遊,李白,月下獨酌四首 一
相,期,邈,雲,漢,李白,月下獨酌四首 一
蜀,僧,抱,綠,綺,李白,聽蜀僧濬彈琴
西,下,峨,眉,峰,李白,聽蜀僧濬彈琴
爲,我,一,揮,手,李白,聽蜀僧濬彈琴
如,聽,萬,壑,松,李白,聽蜀僧濬彈琴
客,心,洗,流,水,李白,聽蜀僧濬彈琴
餘,響,入,霜,鐘,李白,聽蜀僧濬彈琴
不,覺,碧,山,暮,李白,聽蜀僧濬彈琴
秋,雲,暗,幾,重,李白,聽蜀僧濬彈琴
美,人,捲,珠,簾,李白,怨情
深,坐,顰,蛾,眉,李白,怨情
但,見,淚,痕,濕,李白,怨情
不,知,心,恨,誰,李白,怨情
江,漢,曾,爲,客,韋應物,淮上喜會梁川故人
相,逢,每,醉,還,韋應物,淮上喜會梁川故人
浮,雲,一,別,後,韋應物,淮上喜會梁川故人
流,水,十,年,間,韋應物,淮上喜會梁川故人
歡,笑,情,如,舊,韋應物,淮上喜會梁川故人
蕭,疎,鬢,已,斑,韋應物,淮上喜會梁川故人
何,因,北,歸,去,韋應物,淮上喜會梁川故人
淮,上,對,秋,山,韋應物,淮上喜會梁川故人
兵,衛,森,畫,戟,韋應物,郡齋雨中與諸文士燕集
宴,寢,凝,清,香,韋應物,郡齋雨中與諸文士燕集
海,上,風,雨,至,韋應物,郡齋雨中與諸文士燕集
逍,遙,池,閣,涼,韋應物,郡齋雨中與諸文士燕集
煩,疴,近,消,散,韋應物,郡齋雨中與諸文士燕集
嘉,賓,復,滿,堂,韋應物,郡齋雨中與諸文士燕集
自,慙,居,處,崇,韋應物,郡齋雨中與諸文士燕集
未,覩,斯,民,康,韋應物,郡齋雨中與諸文士燕集
理,會,是,非,遣,韋應物,郡齋雨中與諸文士燕集
性,達,形,迹,忘,韋應物,郡齋雨中與諸文士燕集
鮮,肥,屬,時,禁,韋應物,郡齋雨中與諸文士燕集
蔬,果,幸,見,嘗,韋應物,郡齋雨中與諸文士燕集
俯,飲,一,杯,酒,韋應物,郡齋雨中與諸文士燕集
仰,聆,金,玉,章,韋應物,郡齋雨中與諸文士燕集
神,歡,體,自,輕,韋應物,郡齋雨中與諸文士燕集
意,欲,凌,風,翔,韋應物,郡齋雨中與諸文士燕集
吳,中,盛,文,史,韋應物,郡齋雨中與諸文士燕集
羣,彥,今,汪,洋,韋應物,郡齋雨中與諸文士燕集
方,知,大,藩,地,韋應物,郡齋雨中與諸文士燕集
豈,曰,財,賦,疆,韋應物,郡齋雨中與諸文士燕集
悽,悽,去,親,愛,韋應物,初發揚子寄元大校書
泛,泛,入,煙,霧,韋應物,初發揚子寄元大校書
歸,棹,洛,陽,人,韋應物,初發揚子寄元大校書
殘,鐘,廣,陵,樹,韋應物,初發揚子寄元大校書
今,朝,此,爲,別,韋應物,初發揚子寄元大校書
何,處,還,相,遇,韋應物,初發揚子寄元大校書
世,事,波,上,舟,韋應物,初發揚子寄元大校書
沿,洄,安,得,住,韋應物,初發揚子寄元大校書
嫁,得,瞿,塘,賈,李益,相和歌辭 江南曲
朝,朝,誤,妾,期,李益,相和歌辭 江南曲
早,知,潮,有,信,李益,相和歌辭 江南曲
嫁,與,弄,潮,兒,李益,相和歌辭 江南曲
蠶,叢,及,魚,鳧,李白,相和歌辭 蜀道難
開,國,何,茫,然,李白,相和歌辭 蜀道難
青,泥,何,盤,盤,李白,相和歌辭 蜀道難
其,嶮,也,若,此,李白,相和歌辭 蜀道難
所,守,或,匪,親,李白,相和歌辭 蜀道難
化,爲,狼,與,豺,李白,相和歌辭 蜀道難
錦,城,雖,云,樂,李白,相和歌辭 蜀道難
不,如,早,還,家,李白,相和歌辭 蜀道難
玉,階,生,白,露,李白,相和歌辭 玉階怨
夜,久,侵,羅,襪,李白,相和歌辭 玉階怨
却,下,水,精,簾,李白,相和歌辭 玉階怨
玲,瓏,望,秋,月,李白,相和歌辭 玉階怨
秦,地,羅,敷,女,李白,相和歌辭 子夜四時歌四首 春歌
采,桑,綠,水,邊,李白,相和歌辭 子夜四時歌四首 春歌
素,手,青,條,上,李白,相和歌辭 子夜四時歌四首 春歌
紅,妝,白,日,鮮,李白,相和歌辭 子夜四時歌四首 春歌
蠶,飢,妾,欲,去,李白,相和歌辭 子夜四時歌四首 春歌
五,馬,莫,留,連,李白,相和歌辭 子夜四時歌四首 春歌
鏡,湖,三,百,里,李白,相和歌辭 子夜四時歌四首 夏歌
菡,萏,發,荷,花,李白,相和歌辭 子夜四時歌四首 夏歌
五,月,西,施,采,李白,相和歌辭 子夜四時歌四首 夏歌
人,看,隘,若,邪,李白,相和歌辭 子夜四時歌四首 夏歌
迴,舟,不,待,月,李白,相和歌辭 子夜四時歌四首 夏歌
歸,去,越,王,家,李白,相和歌辭 子夜四時歌四首 夏歌
長,安,一,片,月,李白,相和歌辭 子夜四時歌四首 秋歌
萬,戶,擣,衣,聲,李白,相和歌辭 子夜四時歌四首 秋歌
秋,風,吹,不,盡,李白,相和歌辭 子夜四時歌四首 秋歌
總,是,玉,關,情,李白,相和歌辭 子夜四時歌四首 秋歌
何,日,平,胡,虜,李白,相和歌辭 子夜四時歌四首 秋歌
良,人,罷,遠,征,李白,相和歌辭 子夜四時歌四首 秋歌
明,朝,驛,使,發,李白,相和歌辭 子夜四時歌四首 冬歌
一,夜,絮,征,袍,李白,相和歌辭 子夜四時歌四首 冬歌
素,手,抽,針,冷,李白,相和歌辭 子夜四時歌四首 冬歌
那,堪,把,剪,刀,李白,相和歌辭 子夜四時歌四首 冬歌
裁,縫,寄,遠,道,李白,相和歌辭 子夜四時歌四首 冬歌
幾,日,到,臨,洮,李白,相和歌辭 子夜四時歌四首 冬歌
梧,桐,相,待,老,孟郊,琴曲歌辭 列女操
鴛,鴦,會,雙,死,孟郊,琴曲歌辭 列女操
貞,婦,貴,徇,夫,孟郊,琴曲歌辭 列女操
舍,生,亦,如,此,孟郊,琴曲歌辭 列女操
波,瀾,誓,不,起,孟郊,琴曲歌辭 列女操
妾,心,井,中,水,孟郊,琴曲歌辭 列女操
慈,母,手,中,線,孟郊,雜曲歌辭 遊子吟
遊,子,身,上,衣,孟郊,雜曲歌辭 遊子吟
臨,行,密,密,縫,孟郊,雜曲歌辭 遊子吟
意,恐,遲,遲,歸,孟郊,雜曲歌辭 遊子吟
誰,言,寸,草,心,孟郊,雜曲歌辭 遊子吟
報,得,三,春,暉,孟郊,雜曲歌辭 遊子吟
頭,上,何,所,有,杜甫,雜曲歌辭 麗人行
背,後,何,所,見,杜甫,雜曲歌辭 麗人行
昔,日,橫,波,目,李白,雜曲歌辭 長相思三首 二
今,成,流,淚,泉,李白,雜曲歌辭 長相思三首 二
不,信,妾,腸,斷,李白,雜曲歌辭 長相思三首 二
大,道,如,青,天,李白,雜曲歌辭 行路難三首 二
我,獨,不,得,出,李白,雜曲歌辭 行路難三首 二
君,家,定,何,處,崔顥,雜曲歌辭 長干曲四首 一
妾,住,在,橫,塘,崔顥,雜曲歌辭 長干曲四首 一
停,舟,暫,借,問,崔顥,雜曲歌辭 長干曲四首 一
或,恐,是,同,鄉,崔顥,雜曲歌辭 長干曲四首 一
家,臨,九,江,水,崔顥,雜曲歌辭 長干曲四首 二
去,來,九,江,側,崔顥,雜曲歌辭 長干曲四首 二
同,是,長,干,人,崔顥,雜曲歌辭 長干曲四首 二
生,小,不,相,識,崔顥,雜曲歌辭 長干曲四首 二
妾,髮,初,覆,額,李白,雜曲歌辭 長干行二首 一
折,花,門,前,劇,李白,雜曲歌辭 長干行二首 一
郎,騎,竹,馬,來,李白,雜曲歌辭 長干行二首 一
遶,牀,弄,青,梅,李白,雜曲歌辭 長干行二首 一
同,居,長,干,里,李白,雜曲歌辭 長干行二首 一
兩,小,無,嫌,猜,李白,雜曲歌辭 長干行二首 一
十,四,爲,君,婦,李白,雜曲歌辭 長干行二首 一
羞,顏,尚,不,開,李白,雜曲歌辭 長干行二首 一
低,頭,向,暗,壁,李白,雜曲歌辭 長干行二首 一
千,喚,不,一,迴,李白,雜曲歌辭 長干行二首 一
十,五,始,展,眉,李白,雜曲歌辭 長干行二首 一
願,同,塵,與,灰,李白,雜曲歌辭 長干行二首 一
常,存,抱,柱,信,李白,雜曲歌辭 長干行二首 一
豈,上,望,夫,臺,李白,雜曲歌辭 長干行二首 一
十,六,君,遠,行,李白,雜曲歌辭 長干行二首 一
瞿,塘,灩,預,堆,李白,雜曲歌辭 長干行二首 一
五,月,不,可,觸,李白,雜曲歌辭 長干行二首 一
猨,鳴,天,上,哀,李白,雜曲歌辭 長干行二首 一
門,前,遲,行,跡,李白,雜曲歌辭 長干行二首 一
一,一,生,綠,苔,李白,雜曲歌辭 長干行二首 一
苔,深,不,能,掃,李白,雜曲歌辭 長干行二首 一
落,葉,秋,風,早,李白,雜曲歌辭 長干行二首 一
八,月,蝴,蝶,來,李白,雜曲歌辭 長干行二首 一
雙,飛,西,園,草,李白,雜曲歌辭 長干行二首 一
感,此,傷,妾,心,李白,雜曲歌辭 長干行二首 一
坐,愁,紅,顏,老,李白,雜曲歌辭 長干行二首 一
早,晚,下,三,巴,李白,雜曲歌辭 長干行二首 一
預,將,書,報,家,李白,雜曲歌辭 長干行二首 一
相,迎,不,道,遠,李白,雜曲歌辭 長干行二首 一
直,至,長,風,沙,李白,雜曲歌辭 長干行二首 一
白,日,依,山,盡,王之渙,登鸛雀樓
黃,河,入,海,流,王之渙,登鸛雀樓
欲,窮,千,里,目,王之渙,登鸛雀樓
更,上,一,層,樓,王之渙,登鸛雀樓
道,由,白,雲,盡,劉眘虛,闕題
春,與,青,溪,長,劉眘虛,闕題
時,有,落,花,至,劉眘虛,闕題
遠,隨,流,水,香,劉眘虛,闕題
閑,門,向,山,路,劉眘虛,闕題
深,柳,讀,書,堂,劉眘虛,闕題
幽,映,每,白,日,劉眘虛,闕題
清,輝,照,衣,裳,劉眘虛,闕題
故,關,衰,草,遍,嚴維,送李端
離,別,正,堪,悲,嚴維,送李端
路,出,寒,雲,外,嚴維,送李端
人,歸,暮,雪,時,嚴維,送李端
少,孤,爲,客,早,嚴維,送李端
多,難,識,君,遲,嚴維,送李端
揜,泣,空,相,向,嚴維,送李端
風,塵,何,所,期,嚴維,送李端
