id,tag,value,copyCount,author
S55,林黛玉,林黛玉/你这倒是显的我的不是了，可不要在心上给我画上一笔，不然我这心窝子可要难受了。,0,网络
S56,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S57,林黛玉,林黛玉/你的关心，是独我一份的，还是他人都有的，若不是独我一分的，那这份关心不要也罢。,0,网络
S58,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了？我就知道，别人不冷落你，也不会轮到我。,0,网络
S59,林黛玉,林黛玉/呦，这会子连跪累了，方想起我来了，我就知道，要不是队友下线了，哪想到我这个薄命苦心人儿。,0,网络
S60,林黛玉,林黛玉/哥哥说的可当真，你说的这些，可莫要忘了，若是今日寻我开心，他日便忘了去，可真真的使我平白伤心了。,0,网络
S61,林黛玉,林黛玉/终究是熬到了下班时间也等不到哥哥的一句消息，怕不是今晚哥哥又要加班了？留妹妹独自一人暗自伤神。,0,网络
S62,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S63,林黛玉,林黛玉/我只想着做哥哥的女朋友，总要调些脂粉，好让哥哥面上增光，谁成想哥哥竟不领情，还怪我梳妆太迟，真真是痛杀妹妹了。,0,网络
S64,林黛玉,林黛玉/你的那些姑娘们也该教训教训，只是我论理不该说。今儿得罪了我的事小，倘或明儿宝姑娘来，什么贝姑娘来，也得罪了，事情岂不大了。,0,网络
S65,林黛玉,林黛玉/往日里哥哥总是忙里偷闲的来敷衍我 ，谁成想今儿起了个大早，网也不上了，球也不打了，巴巴的凑了过来，谁知道是不是看多了别的妹妹，心里发虚呢。,0,网络
S66,林黛玉,林黛玉/我说了，亏得在游戏那绊住了，不然早飞来了，你要玩便痛快玩吧，何苦来招惹我，到时候输了游戏倒显得是我的不是了，难为你费心，哪里就冷落死我了呢。,0,网络
S67,林黛玉,林黛玉/难为妹妹费心，生怕我平日太无趣，总想着法子让我热闹热闹，可今日这人这般多，倒让我觉得有些许不自在起来，妹妹自个在这好生玩着，姐姐就不凑这热闹了。,0,网络
S68,林黛玉,林黛玉/平日里念哥哥是个知己，但哥哥果然不单单是妹妹一个人的知己，想起昨个儿不是妹妹多疑，怕是早就被哥哥嫌弃了，不如其他妹妹生得俊俏，也终究是贫嘴讨人嫌罢了。,0,网络
S69,林黛玉,林黛玉/你大抵是倦了，竟回我这般敷衍。,0,网络
S70,林黛玉,林黛玉/这怕不是又被哪位妹妹绊住了，竟如此不理人了。,0,网络
S71,林黛玉,林黛玉/瞧瞧，我不过就是多说几句，哥哥就这般模样，算了算了，是我多嘴了。,0,网络
S72,林黛玉,林黛玉/倒是终究被哥哥嫌弃了，不像其她妹妹生的俊俏。,0,网络
S73,林黛玉,林黛玉/我大抵是熬不过这一天了，单单等你的消息就心烦。,0,网络
S74,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S75,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S76,林黛玉,林黛玉/罢了罢了，哥哥平日里也就这么酒脱，是妹妹小家子气了。,0,网络
S77,林黛玉,林黛玉/哥哥若觉得我无趣，明日又见旁人绝妙，真真让人伤了心。,0,网络
S78,林黛玉,林黛玉/哥哥要是这般态度，倒不如直接不理我的好，显得我无理取闹了些。,0,网络
S79,林黛玉,林黛玉/如此说来倒是我的不是了，显得我斤斤计较，越发不如别的妹妹了。,0,网络
S80,林黛玉,林黛玉/平日里我和你说的，全当耳旁风了怎么别人说了你就依，比圣旨还快。,0,网络
S81,林黛玉,林黛玉/你也不用同我好一阵歹一阵的，要恼就撂开了手，何必再这说这些话呢？,0,网络
S82,林黛玉,林黛玉/哥哥现在连解释都没有了吗，瞧瞧，我不过是多说了几句，哥哥就这般模样说我。,0,网络
S83,林黛玉,林黛玉/你这倒是显的我的不是了，可不要在心上给我画上一笔，不然我这心窝子可要难受了。,0,网络
S84,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S85,林黛玉,林黛玉/你的关心，是独我一份的，还是他人都有的，若不是独我一分的，那这份关心不要也罢。,0,网络
S86,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了?我就知道，别人不冷落你，也不会轮到我。,0,网络
S87,林黛玉,林黛玉/呦，这会子连跪累了，方想起我来了，我就知道，要不是队友下线了，哪想到我这个薄命苦心人儿。,0,网络
S88,林黛玉,"林黛玉/哥哥说的可当真，你说的这些，可莫要忘了,若是今日寻我开心，他日便忘了去，可真真的使我平白伤心了。",0,网络
S89,林黛玉,林黛玉/终究是熬到了下班时间也等不到哥哥的一句消息，怕不是今晚哥哥又要加班了?留妹妹独自一人暗自伤神。,0,网络
S90,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S91,林黛玉,林黛玉/我只想着做哥哥的女朋友，总要调些脂粉，好让哥哥面上增光，谁成想哥哥竟不领情，还怪我梳妆太迟，真真是痛杀妹妹了。,0,网络
S92,林黛玉,林黛玉/你的那些姑娘们也该教训教训，只是我论理不该说。今儿得罪了我的事小，倘或明儿宝姑娘来，什么贝姑娘来，也得罪了，事情岂不大了。,0,网络
S93,林黛玉,林黛玉/往日里哥哥总是忙里偷闲的来敷衍我，谁成想今儿起了个大早，网也不上了，球也不打了，巴巴的凑了过来，谁知道是不是看多了别的妹妹，心里发虚呢。,0,网络
S94,林黛玉,林黛玉/我说了，亏得在游戏那绊住了，不然早飞来了，你要玩便痛快玩吧，何苦来招惹我，到时候输了游戏倒显得是我的不是了，难为你费心，哪里就冷落死我了呢。,0,网络
S95,林黛玉,林黛玉/难为妹妹费心，生怕我平日太无趣，总想着法子让我热闹热闹，可今日这人这般多，倒让我觉得有些许不自在起来，妹妹自个在这好生玩着，姐姐就不凑这热闹了。,0,网络
S96,林黛玉,林黛玉/平日里念哥哥是个知己，但哥哥果然不单单是妹妹一个人的知己，想起昨个儿不是妹妹多疑，怕是早就被哥哥嫌弃了，不如其他妹妹生得俊俏，也终究是贫嘴讨人嫌罢了。,0,网络
S97,林黛玉,林黛玉/我就知道，别人不挑剩下来的也不会给我。,0,网络
S98,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了？我就知道，别人不冷落你，也不会轮到我？,0,网络
S99,林黛玉,林黛玉/等你回个消息，难为你费心了，哪里就等死我呢。,0,网络
S100,林黛玉,林黛玉/我知道你是信口胡诌，哄我开心罢了。,0,网络
S101,林黛玉,林黛玉/这怕不是又被哪位妹妹绊住了，竟如此不理人了。,0,网络
S102,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S103,林黛玉,林黛玉/哥哥若觉得我无趣，明日又见旁人绝妙，真真让人伤了心。,0,网络
S104,林黛玉,林黛玉/如此说来倒是我的不是了，显得我斤斤计较，越发不如别的妹妹了。,0,网络
S105,林黛玉,林黛玉/瞧瞧，我不过就是多说几句，哥哥就这般模样，算了算了，是我多嘴了。,0,网络
S106,林黛玉,林黛玉/这聊天秒回是单给我一个人儿的，还是别的姑娘都有？,0,网络
S107,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S108,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S109,林黛玉,林黛玉/呦，这会子连跪累了，方想起我来了，我就知道，要不是队友下线了，哪想到我这个薄命苦心人儿。,0,网络
S110,林黛玉,林黛玉/哥哥要是不愿意说就不说罢，终究是多嘴贫舌惹人烦了。,0,网络
S111,林黛玉,林黛玉/我没这么大福气攀受，比不上别人什么嘘寒问暖的，我不过是草木人罢了。,0,网络
S112,林黛玉,林黛玉/平日里我和你说的 全当耳旁风了怎么她说了你就依 比圣旨还快些。,0,网络
S113,林黛玉,林黛玉/终究是熬到了下班时间也等不到哥哥的一句消息，怕不是今晚哥哥又要加班了？留妹妹独自一人暗自伤神。,0,网络
S114,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了？我就知道，别人不冷落你，也不会轮到我。,0,网络
S115,林黛玉,林黛玉/哥哥要是这般态度，倒不如直接不理我的好，显得我无理取闹了些。,0,网络
S116,林黛玉,林黛玉/我大抵是熬不过这一天了，单单等你的消息就心烦。,0,网络
S117,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S118,林黛玉,林黛玉/我说了，亏得在游戏那绊住了，不然早飞来了，你要玩便痛快玩吧，何苦来招惹我，到时候输了游戏倒显得是我的不是了，难为你费心，哪里就冷落死我了呢。,0,网络
S119,林黛玉,林黛玉/你大抵是倦了，竟回我这般敷衍。,0,网络
S120,林黛玉,林黛玉/横竖就拿那么一点工资，还要二十四小时使唤人了。,0,网络
S121,林黛玉,林黛玉/你也不用同我好一阵歹一阵的，要恼就撂开了手，何必再这说这些话呢！,0,网络
S122,林黛玉,林黛玉/你白认得我吗？我哪里能够像人家有什么配得上你的。,0,网络
S123,林黛玉,林黛玉/原想着是只我一人学的，没想竟是发出来给她们也瞧了去，倒是显得我自作多情了。,0,网络
S124,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我亏得我为思念哥哥茶饭不思，哥哥倒好，整日里竟是想不起来妹妹，莫不是要叫妹妹哭断了肠去？,0,网络
S125,林黛玉,林黛玉/这聊天秒回是单给我一个人儿的，还是别的姑娘都有？,0,网络
S126,林黛玉,林黛玉/什么诙谐，不过是贫嘴贫舌讨人嫌罢了，倒是终究被大家伙嫌弃了，不像其他妹妹生的俊俏,0,网络
S127,林黛玉,林黛玉/哥哥说的可当真，你说的这些，可莫要忘了。要是今日寻我开心，他日便忘了去，可真真的使我平白伤了心。,0,网络
S128,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S129,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S130,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S131,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S132,林黛玉,林黛玉/什么臭男人拿过的，我不要它。,0,网络
S133,林黛玉,林黛玉/罢了罢了，哥哥平日里也就这么洒脱，是妹妹小家子气了。,0,网络
S134,林黛玉,林黛玉/你素日待人，固然是极好的，然我最是个多心的人，只当你藏奸。,0,网络
S135,林黛玉,林黛玉/不自知的东西，照了镜子也没用。,0,网络
S136,林黛玉,林黛玉/也不知昨晚和哪个妹妹欢愉去了。,0,网络
S137,林黛玉,林黛玉/瞧瞧，我不就是多说几句话，哥哥就这般模样。,0,网络
S138,林黛玉,林黛玉/倒是终究被哥哥嫌弃了，不像其他妹妹生的俊俏。,0,网络
S139,林黛玉,林黛玉/我平日里念哥哥是位知己，你果然不单单是妹妹我一个人的知己。,0,网络
S140,林黛玉,林黛玉/你这倒是显的我的不是了，可不要在心上给我画上一笔，不然我这心窝子可要难受了。,0,网络
S141,林黛玉,林黛玉/早知你今天来，我就不来了。,0,网络
S142,林黛玉,林黛玉/难为你费心，哪里就冷死我了呢？,0,网络
S143,林黛玉,林黛玉/是单给我一个人的，还是别的姑娘都有？,0,网络
S144,林黛玉,林黛玉/呸！我打量着是谁，原来是你这个狠心短命的。,0,网络
S145,林黛玉,林黛玉/横竖就拿那么一点工资，还要24小时使唤人了。,0,网络
S146,林黛玉,林黛玉/亏你倒听她的话，我平日里说的话你全当耳旁风。,0,网络
S147,林黛玉,林黛玉/我也是白费心了，自有别人给你做好的。,0,网络
S148,林黛玉,林黛玉/你不过是要捏我的错罢了，你倒说出来，我听听。,0,网络
S149,林黛玉,林黛玉/什么诙谐，不过是贫嘴贫舌讨人嫌罢了。,0,网络
S150,林黛玉,林黛玉/半年没见，一点也没见出息。,0,网络
S151,林黛玉,林黛玉/好姐姐，你教教我，我再也不说了,0,网络
S152,林黛玉,林黛玉/你素日待人，固然是极好的，然我最是个多心的人，只当你藏奸。,0,网络
S153,林黛玉,林黛玉/好姐姐，你别说与别人，我以后再不说了。,0,网络
S154,林黛玉,林黛玉/我原是给你们取笑儿的。拿着我比戏子。,0,网络
S155,林黛玉,林黛玉/你既要在这里，那边去老老实实地坐着，咋们说话儿。,0,网络
S156,林黛玉,林黛玉/既要作诗，你就拜我作师。我虽不通，大略也还教得起你。,0,网络
S157,林黛玉,林黛玉/什么难事，也值得去学！,0,网络
S158,林黛玉,林黛玉/宝玉，你再闹，我就恼了。,0,网络
S159,林黛玉,林黛玉/难得姨娘想着，怪冷的，亲身走来。,0,网络
S160,林黛玉,林黛玉/我作践坏了身子，我死，与你何干！,0,网络
S161,林黛玉,林黛玉/是单送我一个人的，还是别的姑娘们都有呢？,0,网络
S162,林黛玉,林黛玉/那也只瞧我高兴罢了。,0,网络
S163,林黛玉,林黛玉/咱们来了这一日，也该回去了，还不知那边怎么找咱们呢。,0,网络
S164,林黛玉,林黛玉/半年没见，一点也没见出息。,0,网络
S165,林黛玉,林黛玉/好姐姐，你教教我，我再也不说了。,0,网络
S166,林黛玉,林黛玉/别理那老货，咋们只管乐咋们的。,0,网络
S167,林黛玉,林黛玉/你也不用说誓，我很知道你心里有“妹妹”，但只是见了“姐姐”，就把“妹妹”忘了。,0,网络
S168,林黛玉,林黛玉/红包是单发给我一个人的 还是别的姑娘都有？,0,网络
S169,林黛玉,林黛玉/嗳哟，我来得不巧了！,0,网络
